2026-04-14 12:59:58 | INFO | Starting Uvicorn server...
2026-04-14 12:59:58 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 13:00:04 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 13:00:04 | INFO | Inference worker thread started
2026-04-14 13:00:04 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 13:00:04 | INFO | MLX handler initialized successfully
2026-04-14 13:22:27 | INFO | Shutting down application
2026-04-14 13:22:27 | INFO | Cleaning up resources
2026-04-14 13:22:27 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 13:22:27 | INFO | Inference worker thread stopped
2026-04-14 13:22:28 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 13:22:28 | INFO | Resources cleaned up successfully
2026-04-14 13:22:37 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 13:22:37 | INFO | Server configuration complete.
2026-04-14 13:22:37 | INFO | Starting Uvicorn server...
2026-04-14 13:22:37 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 13:22:42 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 13:22:42 | INFO | Inference worker thread started
2026-04-14 13:22:42 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 13:22:42 | INFO | MLX handler initialized successfully
2026-04-14 13:34:22 | INFO | Shutting down application
2026-04-14 13:34:22 | INFO | Cleaning up resources
2026-04-14 13:34:22 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 13:34:22 | INFO | Inference worker thread stopped
2026-04-14 13:34:23 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 13:34:23 | INFO | Resources cleaned up successfully
2026-04-14 13:34:31 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 13:34:31 | INFO | Server configuration complete.
2026-04-14 13:34:31 | INFO | Starting Uvicorn server...
2026-04-14 13:34:31 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 13:34:37 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 13:34:37 | INFO | Inference worker thread started
2026-04-14 13:34:37 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 13:34:37 | INFO | MLX handler initialized successfully
2026-04-14 13:39:22 | INFO | Shutting down application
2026-04-14 13:39:22 | INFO | Cleaning up resources
2026-04-14 13:39:22 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 13:39:22 | INFO | Inference worker thread stopped
2026-04-14 13:39:23 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 13:39:23 | INFO | Resources cleaned up successfully
2026-04-14 13:39:31 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 13:39:31 | INFO | Server configuration complete.
2026-04-14 13:39:31 | INFO | Starting Uvicorn server...
2026-04-14 13:39:31 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 13:39:35 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
